year,model,state,y_log,pred_log,cases
2018,Gradient boosting (multi-modal),SIKKIM,5.771441123130016,6.25567347648657,320
2018,Gradient boosting (multi-modal),TAMIL NADU,8.408939605975984,9.164689891838604,4486
2018,Gradient boosting (multi-modal),TELANGANA,8.432288684325794,9.37038727611186,4592
2018,Gradient boosting (multi-modal),TRIPURA,4.61512051684126,5.22437865281041,100
2018,Gradient boosting (multi-modal),UTTAR PRADESH,8.250620082174692,8.749152165489544,3829
2018,Gradient boosting (multi-modal),UTTARAKHAND,6.536691597591305,6.751153655229551,689
2019,Persistence (previous year),ANDAMAN AND NICOBAR,5.1298987149230735,3.912023005428146,168
2019,Persistence (previous year),ANDHRA PRADESH,8.57300625623545,8.297045149081827,5286
2019,Persistence (previous year),ARUNACHAL PRADESH,4.820281565605037,0.6931471805599453,123
2019,Persistence (previous year),ASSAM,5.2832037287379885,5.117993812416755,196
2019,Persistence (previous year),BIHAR,8.811801223938751,7.669961995473577,6712
2019,Persistence (previous year),CHANDIGARH,5.659482215759621,5.71042701737487,286
2019,Persistence (previous year),CHHATTISGARH,6.583409222158765,7.891704659330107,722
2019,Persistence (previous year),DADRA AND NAGAR HAVELI,7.307872780763706,6.202535517187923,1491
2019,Persistence (previous year),DAMAN AND DIU,6.439350371100098,5.099866427824199,625
2019,Persistence (previous year),DELHI,8.532672762264625,8.873047798971067,5077
2019,Persistence (previous year),GOA,6.900730664045173,5.817111159963204,992
2019,Persistence (previous year),GUJARAT,9.810275170813949,8.933268478636418,18219
2019,Persistence (previous year),HARYANA,7.0967213784947605,7.549082710812286,1207
2019,Persistence (previous year),HIMACHAL PRADESH,5.84354441703136,8.449556542700426,344
2019,Persistence (previous year),JAMMU AND KASHMIR,6.0867747269123065,5.3706380281276624,439
2019,Persistence (previous year),JHARKHAND,6.716594773520978,6.139884552226255,825
2019,Persistence (previous year),KARNATAKA,9.74020362461931,8.395703293828527,16986
2019,Persistence (previous year),KERALA,8.445267451844648,8.314832179284556,4652
2019,Persistence (previous year),LAKSHADWEEP,0.0,0.0,0
2019,Persistence (previous year),MADHYA PRADESH,8.340456012916183,8.413387022690648,4189
