state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
NAGALAND,2015,21,75.77,145537.0,27.9,1978502.0,28.86,119.0,1.0614090862682979
NAGALAND,2016,142,75.77,145537.0,27.9,1978502.0,28.86,119.0,7.177147154766586
NAGALAND,2017,357,75.77,145537.0,27.9,1978502.0,28.86,119.0,18.043954466561065
NAGALAND,2018,369,75.77,145537.0,27.9,1978502.0,28.86,119.0,18.650473944428665
NAGALAND,2019,8,75.77,145537.0,27.9,1978502.0,28.86,119.0,0.4043463185783992
NAGALAND,2020,1,75.77,145537.0,27.9,1978502.0,28.86,119.0,0.0505432898222999
NAGALAND,2021,24,75.77,145537.0,27.9,1978502.0,28.86,119.0,1.2130389557351977
NAGALAND,2022,154,75.77,145537.0,27.9,1978502.0,28.86,119.0,7.783666632634185
NAGALAND,2023,4943,75.77,145537.0,27.9,1978502.0,28.86,119.0,249.83548159162842
NAGALAND,2024,42,75.77,145537.0,27.9,1978502.0,28.86,119.0,2.1228181725365958
ODISHA,2015,2450,58.08,143768.0,37.1,41974219.0,16.69,269.0,5.8369162270773876
ODISHA,2016,8380,58.08,143768.0,37.1,41974219.0,16.69,269.0,19.964635911391227
ODISHA,2017,4158,58.08,143768.0,37.1,41974219.0,16.69,269.0,9.906080682525625
ODISHA,2018,5198,58.08,143768.0,37.1,41974219.0,16.69,269.0,12.383792060550311
ODISHA,2019,3758,58.08,143768.0,37.1,41974219.0,16.69,269.0,8.953114767900745
ODISHA,2020,496,58.08,143768.0,37.1,41974219.0,16.69,269.0,1.1816777341348508
ODISHA,2021,7548,58.08,143768.0,37.1,41974219.0,16.69,269.0,17.982466808971477
ODISHA,2022,7063,58.08,143768.0,37.1,41974219.0,16.69,269.0,16.826995637488814
ODISHA,2023,12845,58.08,143768.0,37.1,41974219.0,16.69,269.0,30.602117933391447
ODISHA,2024,9892,58.08,143768.0,37.1,41974219.0,16.69,269.0,23.566847068673273
PUDUCHERRY,2015,771,66.19,245180.0,48.5,1247953.0,68.33,2598.0,61.78117284865696
PUDUCHERRY,2016,490,66.19,245180.0,48.5,1247953.0,68.33,2598.0,39.26429921639677
